id,name,description,parent_id,created_at,created_by,last_modified_by,last_modified_on
1,Thời trang nam,N/A,,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
2,Thời trang nữ,N/A,,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
3,Điện thoại & Phụ Kiện,N/A,,2025-06-16 12:00:00,1,1,2025-06-16 12:00:00
4,Mẹ & Bé,N/A,,2025-06-17 12:00:00,1,1,2025-06-17 12:00:00
5,Thiết bị điện tử,N/A,,2025-06-18 12:00:00,1,1,2025-06-18 12:00:00
6,Nhà Cửa & Đời Sống,N/A,,2025-06-19 12:00:00,1,1,2025-06-19 12:00:00
7,Đồng Hồ,N/A,,2025-06-20 12:00:00,1,1,2025-06-20 12:00:00
8,Phụ Kiện & Trang Sức Nữ,N/A,,2025-06-21 12:00:00,1,1,2025-06-21 12:00:00
9,Balo & Túi Ví Nam,N/A,,2025-06-22 12:00:00,1,1,2025-06-22 12:00:00
10,Máy Tính & Laptop,N/A,,2025-06-23 12:00:00,1,1,2025-06-23 12:00:00
11,Giày Dép Nữ,N/A,,2025-06-24 12:00:00,1,1,2025-06-24 12:00:00
12,Thể Thao & Du Lịch,N/A,,2025-06-25 12:00:00,1,1,2025-06-25 12:00:00
13,Thời Trang Trẻ Em,N/A,,2025-06-26 12:00:00,1,1,2025-06-26 12:00:00
14,Dụng Cụ và Thiết Bị Tiện Ích,N/A,,2025-06-27 12:00:00,1,1,2025-06-27 12:00:00
15,Sắc Đẹp,N/A,,2025-06-28 12:00:00,1,1,2025-06-28 12:00:00
16,Giày Dép Nam,N/A,,2025-06-29 12:00:00,1,1,2025-06-29 12:00:00
17,Bách Hóa Online,N/A,,2025-06-30 12:00:00,1,1,2025-06-30 12:00:00
18,Đồ Chơi,N/A,,2025-07-01 12:00:00,1,1,2025-07-01 12:00:00
19,Máy Ảnh & Máy Quay Phim,N/A,,2025-07-02 12:00:00,1,1,2025-07-02 12:00:00
20,Túi Ví Nữ,N/A,,2025-07-03 12:00:00,1,1,2025-07-03 12:00:00
21,Ô Tô & Xe Máy & Xe Đạp,N/A,,2025-07-04 12:00:00,1,1,2025-07-04 12:00:00
22,Giặt Giũ & Chăm Sóc Nhà Cửa,N/A,,2025-07-05 12:00:00,1,1,2025-07-05 12:00:00
23,Sức Khỏe,N/A,,2025-07-06 12:00:00,1,1,2025-07-06 12:00:00
24,Thiết Bị Điện Gia Dụng,N/A,,2025-07-07 12:00:00,1,1,2025-07-07 12:00:00
25,Nhà Sách Online,N/A,,2025-07-08 12:00:00,1,1,2025-07-08 12:00:00
26,Chăm Sóc Thú Cưng,N/A,,2025-07-09 12:00:00,1,1,2025-07-09 12:00:00
27,Voucher & Dịch Vụ,N/A,,2025-07-10 12:00:00,1,1,2025-07-10 12:00:00
28,Áo Khoác,N/A,1,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
29,Áo Vest và Blazer,N/A,1,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
30,"Áo Hoodie, Áo Len & Áo Nỉ",N/A,1,2025-06-16 12:00:00,1,1,2025-06-16 12:00:00
31,Quần Jeans,N/A,1,2025-06-17 12:00:00,1,1,2025-06-17 12:00:00
32,Quần Dài/Quần Âu,N/A,1,2025-06-18 12:00:00,1,1,2025-06-18 12:00:00
33,Quần Short,N/A,1,2025-06-19 12:00:00,1,1,2025-06-19 12:00:00
34,Áo,N/A,1,2025-06-20 12:00:00,1,1,2025-06-20 12:00:00
35,Áo Ba Lỗ,N/A,1,2025-06-21 12:00:00,1,1,2025-06-21 12:00:00
36,Đồ Lót,N/A,1,2025-06-22 12:00:00,1,1,2025-06-22 12:00:00
37,Đồ Ngủ,N/A,1,2025-06-23 12:00:00,1,1,2025-06-23 12:00:00
38,Đồ Bộ,N/A,1,2025-06-24 12:00:00,1,1,2025-06-24 12:00:00
39,Vớ/Tất,N/A,1,2025-06-25 12:00:00,1,1,2025-06-25 12:00:00
40,Trang Phục Truyền Thống,N/A,1,2025-06-26 12:00:00,1,1,2025-06-26 12:00:00
41,Đồ Hóa Trang,N/A,1,2025-06-27 12:00:00,1,1,2025-06-27 12:00:00
42,Trang Phục Ngành Nghề,N/A,1,2025-06-28 12:00:00,1,1,2025-06-28 12:00:00
43,Khác,N/A,1,2025-06-29 12:00:00,1,1,2025-06-29 12:00:00
44,Trang Sức Nam,N/A,1,2025-06-30 12:00:00,1,1,2025-06-30 12:00:00
45,Kính Mắt Nam,N/A,1,2025-07-01 12:00:00,1,1,2025-07-01 12:00:00
46,Thắt Lưng Nam,N/A,1,2025-07-02 12:00:00,1,1,2025-07-02 12:00:00
47,Cà vạt & Nơ cổ,N/A,1,2025-07-03 12:00:00,1,1,2025-07-03 12:00:00
48,Phụ Kiện Nam,N/A,1,2025-07-04 12:00:00,1,1,2025-07-04 12:00:00
49,Quần,N/A,2,2025-07-05 12:00:00,1,1,2025-07-05 12:00:00
50,Quần đùi,N/A,2,2025-07-06 12:00:00,1,1,2025-07-06 12:00:00
51,Chân váy,N/A,2,2025-07-07 12:00:00,1,1,2025-07-07 12:00:00
52,Quần jeans,N/A,2,2025-07-08 12:00:00,1,1,2025-07-08 12:00:00
53,Đầm/Váy,N/A,2,2025-07-09 12:00:00,1,1,2025-07-09 12:00:00
54,Váy cưới,N/A,2,2025-07-10 12:00:00,1,1,2025-07-10 12:00:00
55,Đồ liền thân,N/A,2,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
56,"Áo khoác, Áo choàng & Vest",N/A,2,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
57,Áo len & Cardigan,N/A,2,2025-06-16 12:00:00,1,1,2025-06-16 12:00:00
58,Hoodie và Áo nỉ,N/A,2,2025-06-17 12:00:00,1,1,2025-06-17 12:00:00
59,Bộ,N/A,2,2025-06-18 12:00:00,1,1,2025-06-18 12:00:00
60,Đồ lót,N/A,2,2025-06-19 12:00:00,1,1,2025-06-19 12:00:00
61,Đồ ngủ,N/A,2,2025-06-20 12:00:00,1,1,2025-06-20 12:00:00
62,Áo,N/A,2,2025-06-21 12:00:00,1,1,2025-06-21 12:00:00
63,Đồ tập,N/A,2,2025-06-22 12:00:00,1,1,2025-06-22 12:00:00
64,Đồ bầu,N/A,2,2025-06-23 12:00:00,1,1,2025-06-23 12:00:00
65,Đồ truyền thống,N/A,2,2025-06-24 12:00:00,1,1,2025-06-24 12:00:00
66,Đồ hóa trang,N/A,2,2025-06-25 12:00:00,1,1,2025-06-25 12:00:00
67,Vải,N/A,2,2025-06-26 12:00:00,1,1,2025-06-26 12:00:00
68,Vớ/ Tất,N/A,2,2025-06-27 12:00:00,1,1,2025-06-27 12:00:00
69,Khác,N/A,2,2025-06-28 12:00:00,1,1,2025-06-28 12:00:00
70,Điện thoại,N/A,3,2025-06-29 12:00:00,1,1,2025-06-29 12:00:00
71,Máy tính bảng,N/A,3,2025-06-30 12:00:00,1,1,2025-06-30 12:00:00
72,Pin Dự Phòng,N/A,3,2025-07-01 12:00:00,1,1,2025-07-01 12:00:00
